Dátum,Termék,Kategória,Eladott mennyiség (db),Egységár (Ft),Napi árbevétel (Ft),Év,Hónap,Hét napja
2023-01-05,Szendvics,Egyéb,19,890,16910,2023,1,Thursday
2023-01-05,Baguette,Kenyér,22,650,14300,2023,1,Thursday
2023-01-06,Fehér kenyér,Kenyér,46,800,36800,2023,1,Friday
2023-01-06,Félbarna kenyér,Kenyér,34,850,28900,2023,1,Friday
2023-01-06,Teljes kiőrlésű kenyér,Kenyér,22,950,20900,2023,1,Friday
2023-01-06,Zsemle (db),Pékáru,280,90,25200,2023,1,Friday
2023-01-06,Kifli (db),Pékáru,264,85,22440,2023,1,Friday
2023-01-06,Vajas croissant,Édesség,51,450,22950,2023,1,Friday
2023-01-06,Csokis croissant,Édesség,43,490,21070,2023,1,Friday
2023-01-06,Túrós batyu,Édesség,49,420,20580,2023,1,Friday
2023-01-06,Sajtos pogácsa,Pékáru,123,150,18450,2023,1,Friday
2023-01-06,Fonott kalács,Kenyér,16,1200,19200,2023,1,Friday
2023-01-06,Mákos rétes,Édesség,44,350,15400,2023,1,Friday
2023-01-06,Diós rétes,Édesség,44,350,15400,2023,1,Friday
2023-01-06,Muffin,Édesség,39,380,14820,2023,1,Friday
2023-01-06,Szendvics,Egyéb,19,890,16910,2023,1,Friday
2023-01-06,Baguette,Kenyér,19,650,12350,2023,1,Friday
2023-01-07,Fehér kenyér,Kenyér,52,800,41600,2023,1,Saturday
2023-01-07,Félbarna kenyér,Kenyér,38,850,32300,2023,1,Saturday
2023-01-07,Teljes kiőrlésű kenyér,Kenyér,29,950,27550,2023,1,Saturday
2023-01-07,Zsemle (db),Pékáru,345,90,31050,2023,1,Saturday
2023-01-07,Kifli (db),Pékáru,352,85,29920,2023,1,Saturday
2023-01-07,Vajas croissant,Édesség,60,450,27000,2023,1,Saturday
2023-01-07,Csokis croissant,Édesség,49,490,24010,2023,1,Saturday
2023-01-07,Túrós batyu,Édesség,54,420,22680,2023,1,Saturday
2023-01-07,Sajtos pogácsa,Pékáru,146,150,21900,2023,1,Saturday
2023-01-07,Fonott kalács,Kenyér,17,1200,20400,2023,1,Saturday
2023-01-07,Mákos rétes,Édesség,45,350,15750,2023,1,Saturday
2023-01-07,Diós rétes,Édesség,44,350,15400,2023,1,Saturday
2023-01-07,Muffin,Édesség,47,380,17860,2023,1,Saturday
2023-01-07,Szendvics,Egyéb,25,890,22250,2023,1,Saturday
2023-01-07,Baguette,Kenyér,24,650,15600,2023,1,Saturday
2023-01-09,Fehér kenyér,Kenyér,46,800,36800,2023,1,Monday
2023-01-09,Félbarna kenyér,Kenyér,32,850,27200,2023,1,Monday
2023-01-09,Teljes kiőrlésű kenyér,Kenyér,22,950,20900,2023,1,Monday
2023-01-09,Zsemle (db),Pékáru,267,90,24030,2023,1,Monday
2023-01-09,Kifli (db),Pékáru,264,85,22440,2023,1,Monday
2023-01-09,Vajas croissant,Édesség,54,450,24300,2023,1,Monday
2023-01-09,Csokis croissant,Édesség,41,490,20090,2023,1,Monday
2023-01-09,Túrós batyu,Édesség,44,420,18480,2023,1,Monday
2023-01-09,Sajtos pogácsa,Pékáru,134,150,20100,2023,1,Monday
2023-01-09,Fonott kalács,Kenyér,14,1200,16800,2023,1,Monday
2023-01-09,Mákos rétes,Édesség,42,350,14700,2023,1,Monday
2023-01-09,Diós rétes,Édesség,41,350,14350,2023,1,Monday
2023-01-09,Muffin,Édesség,40,380,15200,2023,1,Monday
2023-01-09,Szendvics,Egyéb,20,890,17800,2023,1,Monday
2023-01-09,Baguette,Kenyér,18,650,11700,2023,1,Monday
2023-01-10,Fehér kenyér,Kenyér,38,800,30400,2023,1,Tuesday
2023-01-10,Félbarna kenyér,Kenyér,27,850,22950,2023,1,Tuesday
2023-01-10,Teljes kiőrlésű kenyér,Kenyér,20,950,19000,2023,1,Tuesday
2023-01-10,Zsemle (db),Pékáru,251,90,22590,2023,1,Tuesday
2023-01-10,Kifli (db),Pékáru,267,85,22695,2023,1,Tuesday
2023-01-10,Vajas croissant,Édesség,45,450,20250,2023,1,Tuesday
2023-01-10,Csokis croissant,Édesség,38,490,18620,2023,1,Tuesday
2023-01-10,Túrós batyu,Édesség,40,420,16800,2023,1,Tuesday
2023-01-10,Sajtos pogácsa,Pékáru,112,150,16800,2023,1,Tuesday
2023-01-10,Fonott kalács,Kenyér,12,1200,14400,2023,1,Tuesday
2023-01-10,Mákos rétes,Édesség,35,350,12250,2023,1,Tuesday
2023-01-10,Diós rétes,Édesség,37,350,12950,2023,1,Tuesday
2023-01-10,Muffin,Édesség,34,380,12920,2023,1,Tuesday
2023-01-10,Szendvics,Egyéb,16,890,14240,2023,1,Tuesday
2023-01-10,Baguette,Kenyér,18,650,11700,2023,1,Tuesday
2023-01-11,Fehér kenyér,Kenyér,35,800,28000,2023,1,Wednesday
2023-01-11,Félbarna kenyér,Kenyér,24,850,20400,2023,1,Wednesday
2023-01-11,Teljes kiőrlésű kenyér,Kenyér,17,950,16150,2023,1,Wednesday
2023-01-11,Zsemle (db),Pékáru,219,90,19710,2023,1,Wednesday
2023-01-11,Kifli (db),Pékáru,215,85,18275,2023,1,Wednesday
2023-01-11,Vajas croissant,Édesség,41,450,18450,2023,1,Wednesday
2023-01-11,Csokis croissant,Édesség,34,490,16660,2023,1,Wednesday
2023-01-11,Túrós batyu,Édesség,32,420,13440,2023,1,Wednesday
2023-01-11,Sajtos pogácsa,Pékáru,93,150,13950,2023,1,Wednesday
2023-01-11,Fonott kalács,Kenyér,11,1200,13200,2023,1,Wednesday
2023-01-11,Mákos rétes,Édesség,33,350,11550,2023,1,Wednesday
2023-01-11,Diós rétes,Édesség,37,350,12950,2023,1,Wednesday
2023-01-11,Muffin,Édesség,31,380,11780,2023,1,Wednesday
2023-01-11,Szendvics,Egyéb,15,890,13350,2023,1,Wednesday
2023-01-11,Baguette,Kenyér,15,650,9750,2023,1,Wednesday
2023-01-12,Fehér kenyér,Kenyér,41,800,32800,2023,1,Thursday
2023-01-12,Félbarna kenyér,Kenyér,30,850,25500,2023,1,Thursday
2023-01-12,Teljes kiőrlésű kenyér,Kenyér,20,950,19000,2023,1,Thursday
2023-01-12,Zsemle (db),Pékáru,268,90,24120,2023,1,Thursday
2023-01-12,Kifli (db),Pékáru,236,85,20060,2023,1,Thursday
2023-01-12,Vajas croissant,Édesség,45,450,20250,2023,1,Thursday
2023-01-12,Csokis croissant,Édesség,39,490,19110,2023,1,Thursday
2023-01-12,Túrós batyu,Édesség,43,420,18060,2023,1,Thursday
2023-01-12,Sajtos pogácsa,Pékáru,121,150,18150,2023,1,Thursday
2023-01-12,Fonott kalács,Kenyér,12,1200,14400,2023,1,Thursday
2023-01-12,Mákos rétes,Édesség,33,350,11550,2023,1,Thursday
2023-01-12,Diós rétes,Édesség,37,350,12950,2023,1,Thursday
2023-01-12,Muffin,Édesség,37,380,14060,2023,1,Thursday
2023-01-12,Szendvics,Egyéb,17,890,15130,2023,1,Thursday
2023-01-12,Baguette,Kenyér,19,650,12350,2023,1,Thursday
2023-01-13,Fehér kenyér,Kenyér,46,800,36800,2023,1,Friday
2023-01-13,Félbarna kenyér,Kenyér,32,850,27200,2023,1,Friday
2023-01-13,Teljes kiőrlésű kenyér,Kenyér,21,950,19950,2023,1,Friday
2023-01-13,Zsemle (db),Pékáru,269,90,24210,2023,1,Friday
2023-01-13,Kifli (db),Pékáru,256,85,21760,2023,1,Friday
2023-01-13,Vajas croissant,Édesség,48,450,21600,2023,1,Friday
2023-01-13,Csokis croissant,Édesség,41,490,20090,2023,1,Friday
2023-01-13,Túrós batyu,Édesség,47,420,19740,2023,1,Friday
2023-01-13,Sajtos pogácsa,Pékáru,129,150,19350,2023,1,Friday
2023-01-13,Fonott kalács,Kenyér,13,1200,15600,2023,1,Friday
2023-01-13,Mákos rétes,Édesség,48,350,16800,2023,1,Friday
2023-01-13,Diós rétes,Édesség,40,350,14000,2023,1,Friday
2023-01-13,Muffin,Édesség,41,380,15580,2023,1,Friday
2023-01-13,Szendvics,Egyéb,20,890,17800,2023,1,Friday
2023-01-13,Baguette,Kenyér,20,650,13000,2023,1,Friday
2023-01-14,Fehér kenyér,Kenyér,52,800,41600,2023,1,Saturday
2023-01-14,Félbarna kenyér,Kenyér,37,850,31450,2023,1,Saturday
2023-01-14,Teljes kiőrlésű kenyér,Kenyér,26,950,24700,2023,1,Saturday
2023-01-14,Zsemle (db),Pékáru,312,90,28080,2023,1,Saturday
2023-01-14,Kifli (db),Pékáru,306,85,26010,2023,1,Saturday
2023-01-14,Vajas croissant,Édesség,58,450,26100,2023,1,Saturday
2023-01-14,Csokis croissant,Édesség,51,490,24990,2023,1,Saturday
2023-01-14,Túrós batyu,Édesség,56,420,23520,2023,1,Saturday
2023-01-14,Sajtos pogácsa,Pékáru,152,150,22800,2023,1,Saturday
2023-01-14,Fonott kalács,Kenyér,17,1200,20400,2023,1,Saturday
2023-01-14,Mákos rétes,Édesség,46,350,16100,2023,1,Saturday
2023-01-14,Diós rétes,Édesség,48,350,16800,2023,1,Saturday
2023-01-14,Muffin,Édesség,44,380,16720,2023,1,Saturday
2023-01-14,Szendvics,Egyéb,23,890,20470,2023,1,Saturday
2023-01-14,Baguette,Kenyér,27,650,17550,2023,1,Saturday
2023-01-16,Fehér kenyér,Kenyér,39,800,31200,2023,1,Monday
2023-01-16,Félbarna kenyér,Kenyér,30,850,25500,2023,1,Monday
2023-01-16,Teljes kiőrlésű kenyér,Kenyér,21,950,19950,2023,1,Monday
2023-01-16,Zsemle (db),Pékáru,254,90,22860,2023,1,Monday
2023-01-16,Kifli (db),Pékáru,238,85,20230,2023,1,Monday
2023-01-16,Vajas croissant,Édesség,44,450,19800,2023,1,Monday
2023-01-16,Csokis croissant,Édesség,36,490,17640,2023,1,Monday
2023-01-16,Túrós batyu,Édesség,36,420,15120,2023,1,Monday
2023-01-16,Sajtos pogácsa,Pékáru,111,150,16650,2023,1,Monday
2023-01-16,Fonott kalács,Kenyér,12,1200,14400,2023,1,Monday
2023-01-16,Mákos rétes,Édesség,39,350,13650,2023,1,Monday
2023-01-16,Diós rétes,Édesség,36,350,12600,2023,1,Monday
2023-01-16,Muffin,Édesség,34,380,12920,2023,1,Monday
2023-01-16,Szendvics,Egyéb,17,890,15130,2023,1,Monday
2023-01-16,Baguette,Kenyér,18,650,11700,2023,1,Monday
2023-01-17,Fehér kenyér,Kenyér,30,800,24000,2023,1,Tuesday
2023-01-17,Félbarna kenyér,Kenyér,21,850,17850,2023,1,Tuesday
2023-01-17,Teljes kiőrlésű kenyér,Kenyér,14,950,13300,2023,1,Tuesday
2023-01-17,Zsemle (db),Pékáru,188,90,16920,2023,1,Tuesday
2023-01-17,Kifli (db),Pékáru,174,85,14790,2023,1,Tuesday
2023-01-17,Vajas croissant,Édesség,36,450,16200,2023,1,Tuesday
2023-01-17,Csokis croissant,Édesség,28,490,13720,2023,1,Tuesday
2023-01-17,Túrós batyu,Édesség,30,420,12600,2023,1,Tuesday
2023-01-17,Sajtos pogácsa,Pékáru,95,150,14250,2023,1,Tuesday
2023-01-17,Fonott kalács,Kenyér,10,1200,12000,2023,1,Tuesday
2023-01-17,Mákos rétes,Édesség,28,350,9800,2023,1,Tuesday
2023-01-17,Diós rétes,Édesség,27,350,9450,2023,1,Tuesday
2023-01-17,Muffin,Édesség,23,380,8740,2023,1,Tuesday
2023-01-17,Szendvics,Egyéb,12,890,10680,2023,1,Tuesday
2023-01-17,Baguette,Kenyér,12,650,7800,2023,1,Tuesday
2023-01-18,Fehér kenyér,Kenyér,32,800,25600,2023,1,Wednesday
2023-01-18,Félbarna kenyér,Kenyér,22,850,18700,2023,1,Wednesday
2023-01-18,Teljes kiőrlésű kenyér,Kenyér,16,950,15200,2023,1,Wednesday
2023-01-18,Zsemle (db),Pékáru,186,90,16740,2023,1,Wednesday
2023-01-18,Kifli (db),Pékáru,179,85,15215,2023,1,Wednesday
2023-01-18,Vajas croissant,Édesség,36,450,16200,2023,1,Wednesday
2023-01-18,Csokis croissant,Édesség,28,490,13720,2023,1,Wednesday
2023-01-18,Túrós batyu,Édesség,30,420,12600,2023,1,Wednesday
2023-01-18,Sajtos pogácsa,Pékáru,94,150,14100,2023,1,Wednesday
2023-01-18,Fonott kalács,Kenyér,9,1200,10800,2023,1,Wednesday
2023-01-18,Mákos rétes,Édesség,26,350,9100,2023,1,Wednesday
2023-01-18,Diós rétes,Édesség,25,350,8750,2023,1,Wednesday
2023-01-18,Muffin,Édesség,24,380,9120,2023,1,Wednesday
2023-01-18,Szendvics,Egyéb,14,890,12460,2023,1,Wednesday
2023-01-18,Baguette,Kenyér,13,650,8450,2023,1,Wednesday
2023-01-19,Fehér kenyér,Kenyér,39,800,31200,2023,1,Thursday
2023-01-19,Félbarna kenyér,Kenyér,27,850,22950,2023,1,Thursday
2023-01-19,Teljes kiőrlésű kenyér,Kenyér,19,950,18050,2023,1,Thursday
2023-01-19,Zsemle (db),Pékáru,233,90,20970,2023,1,Thursday
2023-01-19,Kifli (db),Pékáru,222,85,18870,2023,1,Thursday
2023-01-19,Vajas croissant,Édesség,40,450,18000,2023,1,Thursday
2023-01-19,Csokis croissant,Édesség,34,490,16660,2023,1,Thursday
2023-01-19,Túrós batyu,Édesség,37,420,15540,2023,1,Thursday
2023-01-19,Sajtos pogácsa,Pékáru,105,150,15750,2023,1,Thursday
2023-01-19,Fonott kalács,Kenyér,10,1200,12000,2023,1,Thursday
2023-01-19,Mákos rétes,Édesség,32,350,11200,2023,1,Thursday
2023-01-19,Diós rétes,Édesség,33,350,11550,2023,1,Thursday
2023-01-19,Muffin,Édesség,30,380,11400,2023,1,Thursday
2023-01-19,Szendvics,Egyéb,14,890,12460,2023,1,Thursday
2023-01-19,Baguette,Kenyér,17,650,11050,2023,1,Thursday
2023-01-20,Fehér kenyér,Kenyér,42,800,33600,2023,1,Friday
2023-01-20,Félbarna kenyér,Kenyér,29,850,24650,2023,1,Friday
2023-01-20,Teljes kiőrlésű kenyér,Kenyér,23,950,21850,2023,1,Friday
2023-01-20,Zsemle (db),Pékáru,280,90,25200,2023,1,Friday
2023-01-20,Kifli (db),Pékáru,256,85,21760,2023,1,Friday
2023-01-20,Vajas croissant,Édesség,45,450,20250,2023,1,Friday
2023-01-20,Csokis croissant,Édesség,39,490,19110,2023,1,Friday
2023-01-20,Túrós batyu,Édesség,39,420,16380,2023,1,Friday
2023-01-20,Sajtos pogácsa,Pékáru,121,150,18150,2023,1,Friday
2023-01-20,Fonott kalács,Kenyér,13,1200,15600,2023,1,Friday
2023-01-20,Mákos rétes,Édesség,39,350,13650,2023,1,Friday
2023-01-20,Diós rétes,Édesség,44,350,15400,2023,1,Friday
2023-01-20,Muffin,Édesség,35,380,13300,2023,1,Friday
2023-01-20,Szendvics,Egyéb,18,890,16020,2023,1,Friday
2023-01-20,Baguette,Kenyér,19,650,12350,2023,1,Friday
2023-01-21,Fehér kenyér,Kenyér,59,800,47200,2023,1,Saturday
2023-01-21,Félbarna kenyér,Kenyér,41,850,34850,2023,1,Saturday
2023-01-21,Teljes kiőrlésű kenyér,Kenyér,28,950,26600,2023,1,Saturday
2023-01-21,Zsemle (db),Pékáru,353,90,31770,2023,1,Saturday
2023-01-21,Kifli (db),Pékáru,351,85,29835,2023,1,Saturday
2023-01-21,Vajas croissant,Édesség,70,450,31500,2023,1,Saturday
2023-01-21,Csokis croissant,Édesség,54,490,26460,2023,1,Saturday
2023-01-21,Túrós batyu,Édesség,51,420,21420,2023,1,Saturday
2023-01-21,Sajtos pogácsa,Pékáru,167,150,25050,2023,1,Saturday
2023-01-21,Fonott kalács,Kenyér,18,1200,21600,2023,1,Saturday
2023-01-21,Mákos rétes,Édesség,55,350,19250,2023,1,Saturday
2023-01-21,Diós rétes,Édesség,48,350,16800,2023,1,Saturday
2023-01-21,Muffin,Édesség,47,380,17860,2023,1,Saturday
2023-01-21,Szendvics,Egyéb,25,890,22250,2023,1,Saturday
2023-01-21,Baguette,Kenyér,22,650,14300,2023,1,Saturday
2023-01-23,Fehér kenyér,Kenyér,36,800,28800,2023,1,Monday
2023-01-23,Félbarna kenyér,Kenyér,25,850,21250,2023,1,Monday
2023-01-23,Teljes kiőrlésű kenyér,Kenyér,17,950,16150,2023,1,Monday
2023-01-23,Zsemle (db),Pékáru,215,90,19350,2023,1,Monday
2023-01-23,Kifli (db),Pékáru,206,85,17510,2023,1,Monday
2023-01-23,Vajas croissant,Édesség,41,450,18450,2023,1,Monday
2023-01-23,Csokis croissant,Édesség,34,490,16660,2023,1,Monday
2023-01-23,Túrós batyu,Édesség,35,420,14700,2023,1,Monday
2023-01-23,Sajtos pogácsa,Pékáru,94,150,14100,2023,1,Monday
2023-01-23,Fonott kalács,Kenyér,9,1200,10800,2023,1,Monday
2023-01-23,Mákos rétes,Édesség,34,350,11900,2023,1,Monday
2023-01-23,Diós rétes,Édesség,35,350,12250,2023,1,Monday
2023-01-23,Muffin,Édesség,32,380,12160,2023,1,Monday
2023-01-23,Szendvics,Egyéb,17,890,15130,2023,1,Monday
2023-01-23,Baguette,Kenyér,15,650,9750,2023,1,Monday
2023-01-24,Fehér kenyér,Kenyér,33,800,26400,2023,1,Tuesday
2023-01-24,Félbarna kenyér,Kenyér,22,850,18700,2023,1,Tuesday
2023-01-24,Teljes kiőrlésű kenyér,Kenyér,15,950,14250,2023,1,Tuesday
2023-01-24,Zsemle (db),Pékáru,197,90,17730,2023,1,Tuesday
2023-01-24,Kifli (db),Pékáru,204,85,17340,2023,1,Tuesday
2023-01-24,Vajas croissant,Édesség,36,450,16200,2023,1,Tuesday
2023-01-24,Csokis croissant,Édesség,28,490,13720,2023,1,Tuesday
2023-01-24,Túrós batyu,Édesség,33,420,13860,2023,1,Tuesday
2023-01-24,Sajtos pogácsa,Pékáru,87,150,13050,2023,1,Tuesday
2023-01-24,Fonott kalács,Kenyér,10,1200,12000,2023,1,Tuesday
2023-01-24,Mákos rétes,Édesség,28,350,9800,2023,1,Tuesday
2023-01-24,Diós rétes,Édesség,29,350,10150,2023,1,Tuesday
2023-01-24,Muffin,Édesség,24,380,9120,2023,1,Tuesday
2023-01-24,Szendvics,Egyéb,15,890,13350,2023,1,Tuesday
2023-01-24,Baguette,Kenyér,14,650,9100,2023,1,Tuesday
2023-01-25,Fehér kenyér,Kenyér,42,800,33600,2023,1,Wednesday
2023-01-25,Félbarna kenyér,Kenyér,31,850,26350,2023,1,Wednesday
2023-01-25,Teljes kiőrlésű kenyér,Kenyér,20,950,19000,2023,1,Wednesday
2023-01-25,Zsemle (db),Pékáru,271,90,24390,2023,1,Wednesday
2023-01-25,Kifli (db),Pékáru,249,85,21165,2023,1,Wednesday
2023-01-25,Vajas croissant,Édesség,47,450,21150,2023,1,Wednesday
2023-01-25,Csokis croissant,Édesség,38,490,18620,2023,1,Wednesday
2023-01-25,Túrós batyu,Édesség,42,420,17640,2023,1,Wednesday
2023-01-25,Sajtos pogácsa,Pékáru,116,150,17400,2023,1,Wednesday
2023-01-25,Fonott kalács,Kenyér,14,1200,16800,2023,1,Wednesday
2023-01-25,Mákos rétes,Édesség,36,350,12600,2023,1,Wednesday
2023-01-25,Diós rétes,Édesség,39,350,13650,2023,1,Wednesday
2023-01-25,Muffin,Édesség,38,380,14440,2023,1,Wednesday
2023-01-25,Szendvics,Egyéb,20,890,17800,2023,1,Wednesday
2023-01-25,Baguette,Kenyér,18,650,11700,2023,1,Wednesday
2023-01-26,Fehér kenyér,Kenyér,37,800,29600,2023,1,Thursday
2023-01-26,Félbarna kenyér,Kenyér,27,850,22950,2023,1,Thursday
2023-01-26,Teljes kiőrlésű kenyér,Kenyér,19,950,18050,2023,1,Thursday
2023-01-26,Zsemle (db),Pékáru,245,90,22050,2023,1,Thursday
2023-01-26,Kifli (db),Pékáru,225,85,19125,2023,1,Thursday
2023-01-26,Vajas croissant,Édesség,45,450,20250,2023,1,Thursday
2023-01-26,Csokis croissant,Édesség,35,490,17150,2023,1,Thursday
2023-01-26,Túrós batyu,Édesség,39,420,16380,2023,1,Thursday
2023-01-26,Sajtos pogácsa,Pékáru,107,150,16050,2023,1,Thursday
2023-01-26,Fonott kalács,Kenyér,11,1200,13200,2023,1,Thursday
2023-01-26,Mákos rétes,Édesség,32,350,11200,2023,1,Thursday
2023-01-26,Diós rétes,Édesség,37,350,12950,2023,1,Thursday
2023-01-26,Muffin,Édesség,35,380,13300,2023,1,Thursday
2023-01-26,Szendvics,Egyéb,16,890,14240,2023,1,Thursday
2023-01-26,Baguette,Kenyér,16,650,10400,2023,1,Thursday
2023-01-27,Fehér kenyér,Kenyér,46,800,36800,2023,1,Friday
2023-01-27,Félbarna kenyér,Kenyér,35,850,29750,2023,1,Friday
2023-01-27,Teljes kiőrlésű kenyér,Kenyér,23,950,21850,2023,1,Friday
2023-01-27,Zsemle (db),Pékáru,290,90,26100,2023,1,Friday
2023-01-27,Kifli (db),Pékáru,294,85,24990,2023,1,Friday
2023-01-27,Vajas croissant,Édesség,51,450,22950,2023,1,Friday
2023-01-27,Csokis croissant,Édesség,43,490,21070,2023,1,Friday
2023-01-27,Túrós batyu,Édesség,45,420,18900,2023,1,Friday
2023-01-27,Sajtos pogácsa,Pékáru,134,150,20100,2023,1,Friday
2023-01-27,Fonott kalács,Kenyér,15,1200,18000,2023,1,Friday
2023-01-27,Mákos rétes,Édesség,45,350,15750,2023,1,Friday
2023-01-27,Diós rétes,Édesség,46,350,16100,2023,1,Friday
2023-01-27,Muffin,Édesség,42,380,15960,2023,1,Friday
2023-01-27,Szendvics,Egyéb,22,890,19580,2023,1,Friday
2023-01-27,Baguette,Kenyér,22,650,14300,2023,1,Friday
2023-01-28,Fehér kenyér,Kenyér,47,800,37600,2023,1,Saturday
2023-01-28,Félbarna kenyér,Kenyér,33,850,28050,2023,1,Saturday
2023-01-28,Teljes kiőrlésű kenyér,Kenyér,23,950,21850,2023,1,Saturday
2023-01-28,Zsemle (db),Pékáru,303,90,27270,2023,1,Saturday
2023-01-28,Kifli (db),Pékáru,281,85,23885,2023,1,Saturday
2023-01-28,Vajas croissant,Édesség,56,450,25200,2023,1,Saturday
2023-01-28,Csokis croissant,Édesség,46,490,22540,2023,1,Saturday
2023-01-28,Túrós batyu,Édesség,45,420,18900,2023,1,Saturday
2023-01-28,Sajtos pogácsa,Pékáru,140,150,21000,2023,1,Saturday
2023-01-28,Fonott kalács,Kenyér,15,1200,18000,2023,1,Saturday
2023-01-28,Mákos rétes,Édesség,50,350,17500,2023,1,Saturday
2023-01-28,Diós rétes,Édesség,44,350,15400,2023,1,Saturday
2023-01-28,Muffin,Édesség,40,380,15200,2023,1,Saturday
2023-01-28,Szendvics,Egyéb,19,890,16910,2023,1,Saturday
2023-01-28,Baguette,Kenyér,19,650,12350,2023,1,Saturday
2023-01-30,Fehér kenyér,Kenyér,37,800,29600,2023,1,Monday
2023-01-30,Félbarna kenyér,Kenyér,28,850,23800,2023,1,Monday
2023-01-30,Teljes kiőrlésű kenyér,Kenyér,18,950,17100,2023,1,Monday
2023-01-30,Zsemle (db),Pékáru,224,90,20160,2023,1,Monday
2023-01-30,Kifli (db),Pékáru,219,85,18615,2023,1,Monday
